date,time,예측된발전량(kW)
2023-06-02,1,0.0
2023-06-02,2,0.0
2023-06-02,3,0.0
2023-06-02,4,0.0
2023-06-02,5,0.0
2023-06-02,6,1212883.0
2023-06-02,7,1087060.9
2023-06-02,8,830863.0
2023-06-02,9,468567.6
2023-06-02,10,285550.3
2023-06-02,11,319776.94
2023-06-02,12,329304.53
2023-06-02,13,285148.66
2023-06-02,14,216525.95
2023-06-02,15,97030.22
2023-06-02,16,78380.195
2023-06-02,17,53395.863
2023-06-02,18,28635.53
2023-06-02,19,0.0
2023-06-02,20,0.0
2023-06-02,21,0.0
2023-06-02,22,0.0
2023-06-02,23,0.0
2023-06-03,0,0.0
2023-06-03,1,0.0
2023-06-03,2,0.0
2023-06-03,3,0.0
2023-06-03,4,0.0
2023-06-03,5,0.0
2023-06-03,6,689092.7
2023-06-03,7,1375624.8
2023-06-03,8,1406574.1
2023-06-03,9,1126220.8
2023-06-03,10,740977.4
2023-06-03,11,579089.25
2023-06-03,12,531336.9
2023-06-03,13,468209.62
2023-06-03,14,354801.56
2023-06-03,15,132522.62
2023-06-03,16,0.0
2023-06-03,17,0.0
2023-06-03,18,0.0
2023-06-03,19,0.0
2023-06-03,20,0.0
2023-06-03,21,0.0
2023-06-03,22,0.0
2023-06-03,23,0.0
2023-06-04,0,0.0
2023-06-04,1,0.0
2023-06-04,2,0.0
2023-06-04,3,0.0
2023-06-04,4,0.0
2023-06-04,5,0.0
2023-06-04,6,1145004.4
2023-06-04,7,885092.0
2023-06-04,8,804748.6
2023-06-04,9,613469.8
2023-06-04,10,527577.44
2023-06-04,11,466839.84
2023-06-04,12,387658.38
2023-06-04,13,271727.1
2023-06-04,14,196678.89
2023-06-04,15,146110.94
2023-06-04,16,0.0
2023-06-04,17,0.0
2023-06-04,18,0.0
2023-06-04,19,0.0
2023-06-04,20,0.0
2023-06-04,21,0.0
2023-06-04,22,0.0
2023-06-04,23,0.0
2023-06-05,0,0.0
2023-06-05,1,0.0
2023-06-05,2,0.0
2023-06-05,3,0.0
2023-06-05,4,0.0
2023-06-05,5,0.0
2023-06-05,6,602161.44
2023-06-05,7,642861.7
2023-06-05,8,474977.56
2023-06-05,9,450214.12
2023-06-05,10,513434.66
2023-06-05,11,575662.06
2023-06-05,12,461214.78
2023-06-05,13,261214.78
2023-06-05,14,168877.47
2023-06-05,15,0.0
2023-06-05,16,0.0
2023-06-05,17,0.0
2023-06-05,18,0.0
2023-06-05,19,0.0
2023-06-05,20,0.0
2023-06-05,21,0.0
2023-06-05,22,0.0
2023-06-05,23,0.0
2023-06-06,0,0.0
2023-06-06,1,0.0
2023-06-06,2,0.0
2023-06-06,3,0.0
2023-06-06,4,0.0
2023-06-06,5,0.0
2023-06-06,6,444614.7
2023-06-06,7,868252.25
2023-06-06,8,836835.9
2023-06-06,9,751832.4
2023-06-06,10,568444.75
2023-06-06,11,469994.22
2023-06-06,12,431447.72
2023-06-06,13,335897.28
2023-06-06,14,316091.25
2023-06-06,15,265037.53
2023-06-06,16,214505.61
2023-06-06,17,66314.16
2023-06-06,18,0.0
2023-06-06,19,0.0
2023-06-06,20,0.0
2023-06-06,21,0.0
2023-06-06,22,0.0
2023-06-06,23,0.0
2023-06-07,0,0.0
2023-06-07,1,0.0
2023-06-07,2,0.0
2023-06-07,3,0.0
2023-06-07,4,0.0
2023-06-07,5,0.0
2023-06-07,6,29203.082
2023-06-07,7,489482.34
2023-06-07,8,468796.78
2023-06-07,9,530366.56
2023-06-07,10,506461.2
2023-06-07,11,292629.97
2023-06-07,12,174847.39
2023-06-07,13,150738.5
2023-06-07,14,130580.086
2023-06-07,15,0.0
2023-06-07,16,0.0
2023-06-07,17,0.0
2023-06-07,18,0.0
2023-06-07,19,0.0
2023-06-07,20,45906.52
2023-06-07,21,0.0
2023-06-07,22,0.0
2023-06-07,23,0.0
2023-06-08,0,0.0
2023-06-08,1,0.0
2023-06-08,2,0.0
2023-06-08,3,0.0
2023-06-08,4,0.0
2023-06-08,5,0.0
2023-06-08,6,600799.6
2023-06-08,7,912986.56
2023-06-08,8,816402.6
2023-06-08,9,717009.4
2023-06-08,10,653854.75
2023-06-08,11,589910.6
2023-06-08,12,494768.62
2023-06-08,13,414362.84
2023-06-08,14,198198.9
2023-06-08,15,0.0
2023-06-08,16,0.0
2023-06-08,17,0.0
2023-06-08,18,0.0
2023-06-08,19,0.0
2023-06-08,20,0.0
2023-06-08,21,0.0
2023-06-08,22,0.0
2023-06-08,23,0.0
2023-06-09,0,0.0
2023-06-09,1,0.0
2023-06-09,2,0.0
2023-06-09,3,0.0
2023-06-09,4,0.0
2023-06-09,5,0.0
2023-06-09,6,644684.0
2023-06-09,7,647695.94
2023-06-09,8,550422.06
2023-06-09,9,500390.12
2023-06-09,10,500994.88
2023-06-09,11,496300.97
2023-06-09,12,445272.38
2023-06-09,13,400551.47
2023-06-09,14,205869.45
2023-06-09,15,0.0
2023-06-09,16,0.0
2023-06-09,17,0.0
2023-06-09,18,0.0
2023-06-09,19,0.0
2023-06-09,20,0.0
2023-06-09,21,0.0
2023-06-09,22,0.0
2023-06-09,23,0.0
2023-06-10,0,0.0
2023-06-10,1,0.0
2023-06-10,2,0.0
2023-06-10,3,0.0
2023-06-10,4,0.0
2023-06-10,5,0.0
2023-06-10,6,81509.03
2023-06-10,7,632600.8
2023-06-10,8,712401.1
2023-06-10,9,575479.3
2023-06-10,10,503549.88
2023-06-10,11,487308.97
2023-06-10,12,490044.47
2023-06-10,13,492194.1
2023-06-10,14,410876.7
2023-06-10,15,171245.58
2023-06-10,16,0.0
2023-06-10,17,0.0
2023-06-10,18,0.0
2023-06-10,19,0.0
2023-06-10,20,234043.2
2023-06-10,21,0.0
2023-06-10,22,0.0
2023-06-10,23,0.0
2023-06-11,0,0.0
2023-06-11,1,0.0
2023-06-11,2,0.0
2023-06-11,3,0.0
2023-06-11,4,0.0
2023-06-11,5,0.0
2023-06-11,6,467537.62
2023-06-11,7,454770.38
2023-06-11,8,440289.44
2023-06-11,9,506078.84
2023-06-11,10,575525.1
2023-06-11,11,508428.66
2023-06-11,12,358514.4
2023-06-11,13,243476.77
2023-06-11,14,195623.19
2023-06-11,15,37723.61
2023-06-11,16,62513.273
2023-06-11,17,0.0
2023-06-11,18,0.0
2023-06-11,19,105587.51
2023-06-11,20,251129.23
2023-06-11,21,0.0
2023-06-11,22,0.0
2023-06-11,23,0.0
2023-06-12,0,0.0
2023-06-12,1,0.0
2023-06-12,2,0.0
2023-06-12,3,0.0
2023-06-12,4,0.0
2023-06-12,5,0.0
2023-06-12,6,261424.1
2023-06-12,7,280220.03
2023-06-12,8,312097.56
2023-06-12,9,341051.88
2023-06-12,10,363458.6
2023-06-12,11,378902.88
2023-06-12,12,458239.94
2023-06-12,13,485110.1
2023-06-12,14,542159.6
2023-06-12,15,583011.8
2023-06-12,16,481100.78
2023-06-12,17,371988.7
2023-06-12,18,183110.42
2023-06-12,19,0.0
2023-06-12,20,0.0
2023-06-12,21,0.0
2023-06-12,22,0.0
2023-06-12,23,0.0
2023-06-13,0,0.0
2023-06-13,1,0.0
2023-06-13,2,0.0
2023-06-13,3,0.0
2023-06-13,4,0.0
2023-06-13,5,0.0
2023-06-13,6,0.0
2023-06-13,7,0.0
2023-06-13,8,1032530.44
2023-06-13,9,1056791.1
2023-06-13,10,696276.9
2023-06-13,11,558948.7
2023-06-13,12,533609.44
2023-06-13,13,574154.8
2023-06-13,14,598885.0
2023-06-13,15,527432.7
2023-06-13,16,503505.47
2023-06-13,17,448859.25
2023-06-13,18,387005.2
2023-06-13,19,293868.28
2023-06-13,20,12111.822
2023-06-13,21,0.0
2023-06-13,22,0.0
2023-06-13,23,0.0
2023-06-14,0,0.0
2023-06-14,1,0.0
2023-06-14,2,0.0
2023-06-14,3,0.0
2023-06-14,4,0.0
2023-06-14,5,0.0
2023-06-14,6,0.0
2023-06-14,7,306762.84
2023-06-14,8,592500.94
2023-06-14,9,581689.44
2023-06-14,10,612042.5
2023-06-14,11,724602.25
2023-06-14,12,734849.5
2023-06-14,13,634560.6
2023-06-14,14,540352.94
2023-06-14,15,358441.66
